<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,,<a id=11 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=12 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=13 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=14 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=15 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<a id=16 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,
<a href='https://hf.co/mistralai/Mistral-7B-Instruct-v0.2'>mistralai/Mistral-7B-Instruct-v0.2</a>,📝,-,?,7241732096.0,32000.0,32768.0,✗,✗,(✓),✓,85.41 ± 0.47 / 92.65 ± 0.25,38.53 ± 1.39 / 20.08 ± 0.96,4.21 ± 0.91 / 48.92 ± 0.99,32.17 ± 1.77 / 4.33 ± 1.08,-,7.05 ± 1.27 / 30.32 ± 0.94,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,-,15.9.2.dev0
<a href='https://hf.co/mistralai/Mistral-7B-Instruct-v0.1'>mistralai/Mistral-7B-Instruct-v0.1</a>,📝,-,?,7241732096.0,32000.0,32768.0,✓,✗,(✓),✓,43.36 ± 2.36 / 65.13 ± 2.07,19.71 ± 2.16 / 13.80 ± 0.73,3.21 ± 2.45 / 43.96 ± 3.20,49.09 ± 3.52 / 31.00 ± 4.42,-,-0.33 ± 1.15 / 25.86 ± 0.59,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,-,15.9.2.dev0
<a href='https://hf.co/mistralai/Ministral-8B-Instruct-2410'>mistralai/Ministral-8B-Instruct-2410</a>,📝,-,?,8019808256.0,131072.0,32768.0,✓,✗,(✓),✓,85.59 ± 0.90 / 92.46 ± 0.51,52.46 ± 1.44 / 23.11 ± 1.15,10.08 ± 1.67 / 42.50 ± 2.60,68.69 ± 0.89 / 53.10 ± 0.99,-,21.74 ± 1.30 / 39.87 ± 1.00,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,-,15.9.2.dev0
<a href='https://hf.co/speakleash/Bielik-11B-v3-Base-20250730'>speakleash/Bielik-11B-v3-Base-20250730</a>,🧠,-,N/A,11168796672.0,32128.0,32768.0,✓,✗,(✓),✓,92.99 ± 0.74 / 96.48 ± 0.38,57.59 ± 1.85 / 37.30 ± 3.62,20.02 ± 3.01 / 48.50 ± 3.66,75.09 ± 1.36 / 59.02 ± 1.53,-,16.45 ± 2.66 / 35.60 ± 1.65,16.10.0,16.10.0,16.10.0,16.10.0,-,16.10.0
<a href='https://hf.co/speakleash/Bielik-11B-v3.0-Instruct'>speakleash/Bielik-11B-v3.0-Instruct</a>,📝,-,2.0,11168796672.0,32128.0,32768.0,✓,✗,(✓),✓,93.50 ± 0.56 / 96.75 ± 0.28,55.23 ± 1.31 / 32.65 ± 1.64,36.11 ± 2.16 / 66.53 ± 1.41,31.98 ± 1.40 / 0.16 ± 0.06,-,51.11 ± 1.04 / 63.06 ± 0.83,16.10.0,16.10.0,16.10.0,16.10.0,-,16.10.0
<a href='https://hf.co/mistralai/Ministral-3-3B-Base-2512'>mistralai/Ministral-3-3B-Base-2512</a>,🧠,-,N/A,4251743232.0,131072.0,8192.0,✓,✗,(✓),✓,91.25 ± 0.62 / 95.61 ± 0.31,48.22 ± 2.00 / 34.62 ± 3.15,25.28 ± 2.51 / 57.26 ± 3.97,73.91 ± 1.16 / 59.15 ± 1.06,-,21.34 ± 3.28 / 39.01 ± 2.64,16.12.0.dev0,16.12.0.dev0,16.12.0.dev0,16.12.0.dev0,-,16.12.0.dev0
<a href='https://hf.co/speakleash/Bielik-4.5B-v3.0-Instruct'>speakleash/Bielik-4.5B-v3.0-Instruct</a>,📝,-,8.66,4757260288.0,32000.0,32768.0,✓,✗,(✓),✓,84.83 ± 0.73 / 92.35 ± 0.38,48.23 ± 1.54 / 22.41 ± 2.19,11.57 ± 1.78 / 50.90 ± 1.64,57.53 ± 2.03 / 41.14 ± 2.91,-,15.98 ± 0.45 / 36.35 ± 0.37,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,-,16.11.0.dev0
<a href='https://hf.co/swiss-ai/Apertus-70B-2509'>swiss-ai/Apertus-70B-2509</a>,🧠,-,N/A,70599864480.0,131072.0,65536.0,✓,✗,(✓),✗,91.90 ± 0.91 / 95.89 ± 0.48,44.44 ± 2.24 / 25.78 ± 2.24,0.29 ± 0.57 / 33.40 ± 0.27,71.84 ± 2.27 / 56.17 ± 2.40,-,23.65 ± 1.33 / 37.36 ± 1.54,16.0.0.dev0,16.0.0.dev0,16.0.0.dev0,16.0.0.dev0,-,16.0.0.dev0
<a href='https://hf.co/microsoft/xlm-align-base'>microsoft/xlm-align-base</a>,🔍,-,N/A,277455362.0,250002.0,514.0,✓,✗,(✓),✓,81.91 ± 1.49 / 90.94 ± 0.74,74.90 ± 1.09 / 72.82 ± 1.35,2.37 ± 2.25 / 44.96 ± 2.62,34.42 ± 0.72 / 19.33 ± 0.70,-,-,15.10.0,15.10.0,15.10.0,15.10.0.dev0,-,-
<a href='https://hf.co/microsoft/phi-4'>microsoft/phi-4</a>,📝,-,?,14659507200.0,100352.0,16384.0,✓,✗,(✓),✓,92.07 ± 0.62 / 95.99 ± 0.32,59.21 ± 1.88 / 37.37 ± 2.70,33.19 ± 2.38 / 65.10 ± 1.42,31.90 ± 1.09 / 0.14 ± 0.06,-,37.82 ± 1.39 / 52.78 ± 1.00,15.9.2,15.9.2,15.9.2,15.9.2,-,15.9.2
<a href='https://hf.co/microsoft/mdeberta-v3-base'>microsoft/mdeberta-v3-base</a>,🔍,-,N/A,278220290.0,251000.0,512.0,✓,✗,(✓),✓,85.45 ± 1.13 / 92.70 ± 0.58,67.54 ± 4.36 / 65.74 ± 4.74,23.18 ± 8.54 / 56.78 ± 7.76,51.98 ± 1.69 / 33.78 ± 1.41,-,-,15.10.0,15.10.0,15.10.0,15.10.0.dev0,-,-
<a href='https://hf.co/microsoft/Phi-4-reasoning'>microsoft/Phi-4-reasoning</a>,🤔,-,?,14659507200.0,100352.0,32768.0,✓,✗,(✓),✓,7.66 ± 10.08 / 43.52 ± 4.84,31.75 ± 6.38 / 24.50 ± 4.49,0.04 ± 1.37 / 33.58 ± 0.42,70.57 ± 0.92 / 50.62 ± 1.67,-,19.55 ± 2.05 / 37.26 ± 1.75,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,-,15.9.2.dev0
<a href='https://hf.co/microsoft/Phi-4-reasoning-plus'>microsoft/Phi-4-reasoning-plus</a>,🤔,-,?,14659507200.0,100352.0,32768.0,✓,✗,(✓),✓,6.60 ± 4.77 / 41.32 ± 3.09,3.34 ± 1.30 / 3.07 ± 1.40,10.40 ± 2.35 / 46.28 ± 2.19,41.71 ± 4.79 / 32.19 ± 3.64,-,0.26 ± 0.48 / 25.74 ± 0.29,15.11.0,15.11.0,15.13.0.dev0,15.11.0,-,15.13.0.dev0
<a href='https://hf.co/microsoft/Phi-4-mini-reasoning'>microsoft/Phi-4-mini-reasoning</a>,🤔,-,?,3836021760.0,200064.0,131072.0,✓,✗,(✓),✓,60.90 ± 6.45 / 78.25 ± 5.21,33.48 ± 1.90 / 25.81 ± 1.56,4.17 ± 1.76 / 45.03 ± 3.28,7.66 ± 1.44 / 0.00 ± 0.00,-,6.38 ± 1.43 / 29.66 ± 0.94,15.9.2,15.9.2,15.9.2,15.9.2,-,15.9.2
<a href='https://hf.co/meta-llama/Meta-Llama-3-8B'>meta-llama/Meta-Llama-3-8B</a>,🧠,-,N/A,8030261248.0,128256.0,8192.0,✓,✗,(✓),✓,92.20 ± 0.65 / 96.06 ± 0.34,57.38 ± 1.29 / 30.57 ± 2.19,15.78 ± 2.55 / 51.56 ± 4.45,74.51 ± 1.65 / 57.95 ± 1.96,-,12.25 ± 1.84 / 33.51 ± 1.29,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,-,15.9.2.dev0
<a href='https://hf.co/mistralai/Magistral-Small-2509'>mistralai/Magistral-Small-2509</a>,📝,-,?,24011361280.0,131072.0,8192.0,✓,✗,(✓),✓,91.47 ± 0.61 / 95.67 ± 0.33,65.41 ± 1.71 / 43.92 ± 3.66,31.96 ± 1.98 / 62.71 ± 2.35,76.47 ± 1.73 / 61.45 ± 2.39,-,54.36 ± 1.16 / 65.15 ± 0.98,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,-,16.3.0.dev0
<a href='https://hf.co/mistralai/Mixtral-8x7B-v0.1'>mistralai/Mixtral-8x7B-v0.1</a>,🧠,-,N/A,46702792704.0,32000.0,32768.0,✓,✗,(✓),✓,91.73 ± 0.71 / 95.80 ± 0.38,58.40 ± 2.12 / 31.68 ± 3.93,20.68 ± 2.33 / 57.75 ± 2.43,72.27 ± 1.53 / 56.91 ± 1.67,-,16.14 ± 1.45 / 36.59 ± 1.12,15.10.0.dev0,15.10.0.dev0,15.10.0.dev0,15.10.0.dev0,-,15.10.0.dev0
<a href='https://hf.co/01-ai/Yi-1.5-34B'>01-ai/Yi-1.5-34B</a>,🧠,-,N/A,34388917248.0,64000.0,4096.0,✓,✗,(✓),✗,91.73 ± 0.44 / 95.84 ± 0.23,57.64 ± 1.24 / 43.09 ± 2.57,13.66 ± 7.11 / 45.34 ± 7.21,75.98 ± 0.80 / 59.62 ± 1.16,-,16.76 ± 1.44 / 36.59 ± 1.22,15.8.2.dev0,15.8.2.dev0,15.8.2.dev0,15.8.2.dev0,-,15.8.2.dev0
<a href='https://hf.co/Qwen/QwQ-32B'>Qwen/QwQ-32B</a>,🤔,-,?,32763876352.0,152064.0,40960.0,✓,✗,(✓),✓,90.21 ± 0.86 / 95.04 ± 0.45,54.45 ± 4.36 / 35.70 ± 2.91,29.28 ± 1.35 / 59.09 ± 1.63,65.54 ± 0.52 / 52.26 ± 0.94,-,44.24 ± 9.67 / 58.01 ± 6.96,15.7.2,15.7.2,15.7.2,15.7.2,-,15.7.2.dev0
<a href='https://hf.co/Qwen/Qwen2.5-1.5B-Instruct'>Qwen/Qwen2.5-1.5B-Instruct</a>,📝,-,0.01,1543714304.0,151936.0,32768.0,✓,✗,(✓),✓,77.38 ± 1.15 / 88.11 ± 0.73,27.36 ± 1.87 / 15.50 ± 1.00,7.58 ± 1.03 / 49.37 ± 1.86,61.51 ± 0.82 / 42.43 ± 1.41,-,5.10 ± 1.30 / 28.45 ± 0.93,15.10.1.dev0,15.10.1.dev0,15.10.1.dev0,15.10.1.dev0,-,15.10.1.dev0
<a href='https://hf.co/Qwen/Qwen2.5-Math-1.5B'>Qwen/Qwen2.5-Math-1.5B</a>,📝,-,?,1543714304.0,151936.0,4096.0,✓,✗,(✓),✓,0.65 ± 1.64 / 33.62 ± 0.43,16.69 ± 1.68 / 11.28 ± 1.19,0.14 ± 1.59 / 46.69 ± 2.19,14.73 ± 2.19 / 0.05 ± 0.05,-,1.66 ± 1.17 / 26.87 ± 0.52,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,-,15.9.2.dev0
<a href='https://hf.co/Qwen/Qwen2.5-Math-7B'>Qwen/Qwen2.5-Math-7B</a>,📝,-,?,7615616512.0,152064.0,4096.0,✓,✗,(✓),✓,83.21 ± 1.58 / 91.58 ± 0.79,30.05 ± 2.69 / 20.82 ± 1.79,3.10 ± 2.08 / 34.53 ± 0.87,45.29 ± 4.86 / 20.07 ± 6.18,-,4.10 ± 1.17 / 27.08 ± 1.16,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,-,15.9.2.dev0
<a href='https://hf.co/Qwen/Qwen3-0.6B'>Qwen/Qwen3-0.6B</a>,🤔,-,?,751632384.0,151936.0,40960.0,✓,✗,✗,✓,69.04 ± 0.91 / 84.41 ± 0.46,28.53 ± 1.05 / 19.63 ± 0.79,2.06 ± 1.24 / 45.71 ± 1.03,48.98 ± 0.39 / 31.79 ± 0.72,-,2.33 ± 1.19 / 26.99 ± 0.83,17.1.0.dev0,17.1.0.dev0,16.2.2.dev0,17.1.0.dev0,-,16.2.2.dev0
<a href='https://hf.co/NovaSky-AI/Sky-T1-32B-Preview'>NovaSky-AI/Sky-T1-32B-Preview</a>,📝,-,?,32763876352.0,152064.0,32768.0,✓,✗,(✓),✗,89.45 ± 0.69 / 94.59 ± 0.37,61.48 ± 1.94 / 37.17 ± 3.19,36.72 ± 1.25 / 67.32 ± 0.89,69.16 ± 0.91 / 44.94 ± 2.35,-,49.13 ± 0.95 / 61.21 ± 0.73,15.8.2.dev0,15.8.2.dev0,15.8.2.dev0,15.8.2.dev0,-,15.8.2.dev0
<a href='https://hf.co/NorwAI/NorwAI-Mixtral-8x7B-instruct'>NorwAI/NorwAI-Mixtral-8x7B-instruct</a>,📝,-,?,46997647360.0,67993.0,32768.0,✓,✗,(✓),✗,90.14 ± 0.71 / 95.00 ± 0.38,52.85 ± 1.09 / 25.93 ± 2.33,-0.13 ± 0.25 / 33.39 ± 0.33,64.72 ± 2.98 / 41.09 ± 4.65,-,14.26 ± 0.92 / 34.47 ± 0.81,15.10.0.dev0,15.10.0.dev0,15.10.0.dev0,15.10.0.dev0,-,15.10.0.dev0
<a href='https://hf.co/LiquidAI/LFM2.5-1.2B-Instruct'>LiquidAI/LFM2.5-1.2B-Instruct</a>,📝,-,0.04,1170340608.0,65536.0,128000.0,✗,✗,(✓),✓,18.00 ± 6.65 / 48.36 ± 6.63,13.32 ± 0.83 / 12.65 ± 0.94,0.20 ± 0.65 / 36.26 ± 3.46,5.21 ± 1.24 / 0.00 ± 0.00,-,-0.08 ± 1.18 / 22.85 ± 0.88,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0,-,16.10.1.dev0
<a href='https://hf.co/NorwAI/NorwAI-Mixtral-8x7B'>NorwAI/NorwAI-Mixtral-8x7B</a>,🧠,-,N/A,46997647360.0,67993.0,32768.0,✓,✗,(✓),✗,90.61 ± 0.57 / 95.28 ± 0.29,46.87 ± 2.01 / 22.71 ± 1.61,0.00 ± 0.00 / 33.30 ± 0.27,71.14 ± 1.73 / 54.28 ± 2.33,-,11.52 ± 1.50 / 32.47 ± 1.18,15.10.0.dev0,15.10.0.dev0,15.10.0.dev0,15.10.0.dev0,-,15.10.0.dev0
<a href='https://hf.co/LiquidAI/LFM2.5-1.2B-Thinking'>LiquidAI/LFM2.5-1.2B-Thinking</a>,🤔,-,?,1170340608.0,65536.0,128000.0,✗,✗,(✓),✓,8.19 ± 1.60 / 49.90 ± 1.63,3.39 ± 1.02 / 2.79 ± 0.85,-1.45 ± 1.33 / 47.67 ± 1.74,4.22 ± 0.66 / 0.00 ± 0.00,-,0.86 ± 1.45 / 23.83 ± 1.51,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0,-,16.10.1.dev0
<a href='https://hf.co/LumiOpen/Llama-Poro-2-70B-base'>LumiOpen/Llama-Poro-2-70B-base</a>,🧠,-,N/A,70553706496.0,128256.0,8192.0,✓,✗,(✓),✗,93.18 ± 0.68 / 96.56 ± 0.36,74.27 ± 1.37 / 58.78 ± 4.26,44.16 ± 2.15 / 71.59 ± 1.27,76.52 ± 1.76 / 59.75 ± 2.10,-,40.67 ± 1.82 / 53.10 ± 1.53,15.10.0.dev0,15.10.0.dev0,15.10.0.dev0,15.10.0.dev0,-,15.10.0.dev0
<a href='https://hf.co/LumiOpen/Llama-Poro-2-8B-Instruct'>LumiOpen/Llama-Poro-2-8B-Instruct</a>,📝,-,?,8030261248.0,128256.0,8192.0,✓,✗,(✓),✗,93.36 ± 0.57 / 96.67 ± 0.29,48.34 ± 0.89 / 32.96 ± 1.17,29.30 ± 2.09 / 62.75 ± 1.68,60.79 ± 2.20 / 43.37 ± 2.51,-,32.96 ± 1.28 / 49.09 ± 0.95,15.10.0,15.10.0,15.10.0,15.10.0,-,15.10.0
<a href='https://hf.co/LumiOpen/Llama-Poro-2-8B-SFT'>LumiOpen/Llama-Poro-2-8B-SFT</a>,📝,-,?,8030261248.0,128256.0,8192.0,✓,✗,(✓),✗,93.13 ± 0.59 / 96.55 ± 0.30,54.38 ± 1.13 / 37.76 ± 1.63,23.90 ± 2.27 / 60.42 ± 1.69,64.85 ± 2.19 / 50.02 ± 2.47,-,34.88 ± 1.12 / 50.91 ± 0.83,15.10.0,15.10.0,15.10.0,15.10.0,-,15.10.0
<a href='https://hf.co/LumiOpen/Llama-Poro-2-8B-base'>LumiOpen/Llama-Poro-2-8B-base</a>,🧠,-,N/A,?,128256.0,8192.0,✓,✗,(✓),✗,93.74 ± 0.48 / 96.86 ± 0.24,53.35 ± 1.98 / 32.05 ± 2.53,28.43 ± 4.86 / 60.93 ± 5.80,74.17 ± 1.26 / 56.81 ± 2.50,-,23.20 ± 1.84 / 41.73 ± 1.58,15.10.0,15.10.0,15.10.0,15.10.0,-,15.10.0
<a href='https://hf.co/LumiOpen/Viking-13B'>LumiOpen/Viking-13B</a>,🧠,-,N/A,14030361600.0,131072.0,4096.0,✓,✗,✗,✓,90.30 ± 0.46 / 95.11 ± 0.24,33.72 ± 2.85 / 17.90 ± 1.42,1.40 ± 0.80 / 45.94 ± 2.68,60.60 ± 2.63 / 44.20 ± 3.64,-,-0.36 ± 1.55 / 25.83 ± 0.46,15.9.2.dev0,15.10.0,15.10.0,15.10.0,-,15.10.0
<a href='https://hf.co/LumiOpen/Viking-33B'>LumiOpen/Viking-33B</a>,🧠,-,N/A,33119034368.0,131072.0,4096.0,✓,✗,✗,✓,93.15 ± 0.58 / 96.56 ± 0.29,34.50 ± 3.00 / 21.00 ± 1.84,19.49 ± 2.75 / 57.70 ± 3.26,66.17 ± 1.18 / 51.17 ± 1.63,-,0.83 ± 1.50 / 24.98 ± 1.27,15.10.0,15.10.0,15.10.0,15.10.0,-,15.10.0
<a href='https://hf.co/LumiOpen/Viking-7B'>LumiOpen/Viking-7B</a>,🧠,-,N/A,7550013440.0,131072.0,4096.0,✓,✗,✗,✓,91.09 ± 0.43 / 95.53 ± 0.21,32.42 ± 1.83 / 19.56 ± 1.80,3.54 ± 2.20 / 42.41 ± 4.66,63.09 ± 1.79 / 48.81 ± 1.55,-,-0.99 ± 1.26 / 24.23 ± 1.19,15.10.0,15.10.0,15.10.0,15.10.0,-,15.10.0
<a href='https://hf.co/LumiOpen/Llama-Poro-2-70B-Instruct'>LumiOpen/Llama-Poro-2-70B-Instruct</a>,📝,-,?,70553706496.0,128256.0,8192.0,✓,✗,(✓),✗,93.10 ± 0.51 / 96.52 ± 0.26,60.03 ± 1.15 / 34.73 ± 2.26,46.71 ± 1.94 / 72.57 ± 1.35,59.91 ± 1.24 / 39.57 ± 1.01,-,59.34 ± 0.69 / 68.95 ± 0.58,15.10.1.dev0,15.10.1.dev0,15.10.1.dev0,15.10.1.dev0,-,15.10.1.dev0
<a href='https://hf.co/LiquidAI/LFM2.5-1.2B-Base'>LiquidAI/LFM2.5-1.2B-Base</a>,📝,-,4.23,1170340608.0,65536.0,128000.0,✗,✗,(✓),✓,20.21 ± 11.53 / 52.58 ± 8.59,17.68 ± 2.33 / 15.81 ± 2.26,0.74 ± 0.80 / 34.45 ± 1.16,9.29 ± 1.18 / 0.03 ± 0.03,-,-0.15 ± 0.96 / 24.10 ± 1.44,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0,-,16.10.1.dev0
<a href='https://hf.co/Qwen/Qwen3-1.7B'>Qwen/Qwen3-1.7B</a>,📝,-,?,2031739904.0,151936.0,40960.0,✓,✗,✗,✓,84.27 ± 0.74 / 92.08 ± 0.36,32.90 ± 1.25 / 20.18 ± 0.81,9.30 ± 2.97 / 47.35 ± 5.24,64.78 ± 1.07 / 44.67 ± 2.85,-,9.91 ± 0.52 / 32.49 ± 0.61,16.1.1.dev0,16.1.1.dev0,16.1.1.dev0,16.1.1.dev0,-,16.1.1.dev0
<a href='https://hf.co/Qwen/Qwen3-4B'>Qwen/Qwen3-4B</a>,📝,-,?,4022468096.0,151936.0,40960.0,✓,✗,✗,✓,89.23 ± 0.52 / 94.56 ± 0.26,50.25 ± 1.49 / 24.88 ± 1.53,18.42 ± 1.63 / 58.05 ± 0.87,64.08 ± 0.73 / 50.24 ± 1.30,-,24.91 ± 0.82 / 43.51 ± 0.66,16.1.1.dev0,16.1.1.dev0,16.1.1.dev0,16.1.1.dev0,-,16.1.1.dev0
<a href='https://hf.co/Qwen/Qwen3-8B'>Qwen/Qwen3-8B</a>,🤔,-,?,8190735360.0,151936.0,40960.0,✓,✗,✗,✓,89.51 ± 0.91 / 94.67 ± 0.47,57.97 ± 2.04 / 37.37 ± 1.26,25.94 ± 1.56 / 62.59 ± 0.79,65.03 ± 0.82 / 50.70 ± 1.16,-,37.16 ± 0.84 / 52.87 ± 0.60,15.7.2,15.7.2,15.7.2,15.7.2,-,15.8.2
<a href='https://hf.co/Qwen/Qwen3-Next-80B-A3B-Instruct'>Qwen/Qwen3-Next-80B-A3B-Instruct</a>,📝,-,?,81324862720.0,151936.0,262144.0,✓,✗,✗,✓,91.72 ± 0.87 / 95.80 ± 0.45,62.53 ± 1.22 / 34.77 ± 1.79,36.19 ± 1.81 / 67.72 ± 1.01,64.81 ± 1.21 / 45.92 ± 1.36,-,59.13 ± 1.23 / 69.11 ± 0.92,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,-,16.3.0.dev0
<a href='https://hf.co/Qwen/Qwen3-Next-80B-A3B-Thinking'>Qwen/Qwen3-Next-80B-A3B-Thinking</a>,🤔,-,?,81324862720.0,151936.0,262144.0,✓,✗,✗,✓,89.86 ± 0.81 / 94.83 ± 0.43,66.62 ± 1.91 / 43.71 ± 2.35,21.12 ± 1.22 / 47.21 ± 1.46,60.93 ± 0.84 / 49.18 ± 0.82,-,62.91 ± 0.73 / 72.22 ± 0.56,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,-,16.3.0.dev0
<a href='https://hf.co/Qwen/Qwen3-4B-Instruct-2507'>Qwen/Qwen3-4B-Instruct-2507</a>,📝,-,?,4022468096.0,151936.0,262144.0,✓,✗,✗,✓,90.47 ± 0.48 / 95.21 ± 0.24,47.83 ± 1.22 / 22.66 ± 1.22,10.42 ± 1.31 / 53.39 ± 0.83,63.04 ± 0.95 / 46.35 ± 1.16,-,27.37 ± 1.15 / 45.59 ± 0.84,16.0.0.dev0,16.0.0.dev0,16.0.0.dev0,16.0.0.dev0,-,16.0.0.dev0
<a href='https://hf.co/Qwen/Qwen3.5-35B-A3B-FP8'>Qwen/Qwen3.5-35B-A3B-FP8 (val)</a>,🤔,-,?,34453061632.0,248044.0,8192.0,✓,✗,(✓),✓,89.90 ± 0.67 / 94.82 ± 0.34,64.74 ± 3.11 / 58.50 ± 2.68,-,66.57 ± 0.73 / 49.91 ± 1.39,31.15 ± 0.22 / 33.18 ± 0.33,81.71 ± 0.96 / 86.33 ± 0.73,17.1.0.dev0,17.1.0.dev0,-,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/RekaAI/reka-flash-3.1'>RekaAI/reka-flash-3.1</a>,🤔,-,?,20905482240.0,100352.0,98304.0,✓,✗,(✓),✗,90.11 ± 0.84 / 94.96 ± 0.44,57.38 ± 2.67 / 35.93 ± 2.59,27.05 ± 1.96 / 62.78 ± 1.07,55.81 ± 1.12 / 46.58 ± 1.32,-,43.64 ± 1.13 / 57.47 ± 0.82,15.12.0.dev0,15.12.0.dev0,15.12.0.dev0,15.12.0.dev0,-,15.12.0.dev0
<a href='https://hf.co/RekaAI/reka-flash-3'>RekaAI/reka-flash-3</a>,🤔,-,?,20905482240.0,100352.0,32768.0,✓,✗,(✓),✗,90.14 ± 0.68 / 94.99 ± 0.36,59.16 ± 1.85 / 30.89 ± 1.41,27.15 ± 1.86 / 63.41 ± 0.91,64.30 ± 1.02 / 50.54 ± 1.21,-,41.31 ± 1.34 / 56.00 ± 0.97,15.9.2,15.9.2,15.9.2,15.9.2,-,15.9.2
<a href='https://hf.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B</a>,🤔,-,?,14768307200.0,151936.0,40960.0,✓,✗,✗,✓,90.78 ± 0.89 / 95.33 ± 0.47,58.05 ± 2.74 / 40.09 ± 2.13,32.77 ± 2.48 / 65.26 ± 1.36,67.97 ± 0.73 / 52.07 ± 1.45,-,45.17 ± 1.27 / 58.91 ± 0.97,15.7.2.dev0,15.7.2.dev0,15.7.2.dev0,15.7.2.dev0,-,15.7.2.dev0
<a href='https://hf.co/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8'>Qwen/Qwen3-235B-A22B-Instruct-2507-FP8</a>,📝,-,?,235107904512.0,151936.0,262144.0,✓,✗,✗,✓,92.17 ± 0.77 / 96.04 ± 0.40,64.96 ± 1.23 / 38.83 ± 2.85,45.86 ± 1.55 / 72.86 ± 0.76,65.44 ± 0.83 / 50.50 ± 1.53,-,71.29 ± 1.04 / 78.47 ± 0.78,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,-,16.2.2.dev0
<a href='https://hf.co/Qwen/Qwen3-235B-A22B-Thinking-2507-FP8'>Qwen/Qwen3-235B-A22B-Thinking-2507-FP8</a>,🤔,-,?,235107904512.0,151936.0,262144.0,✓,✗,✗,✓,92.05 ± 0.68 / 95.99 ± 0.35,79.42 ± 1.43 / 56.60 ± 1.64,32.33 ± 1.73 / 57.92 ± 1.14,66.88 ± 0.53 / 54.00 ± 0.68,-,69.31 ± 0.93 / 77.01 ± 0.70,16.3.0.dev0,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,-,16.4.0.dev0
<a href='https://hf.co/Qwen/Qwen3-235B-A22B'>Qwen/Qwen3-235B-A22B</a>,🤔,-,?,235093634560.0,151936.0,40960.0,✓,✗,✗,✓,91.25 ± 0.54 / 95.57 ± 0.28,63.20 ± 1.70 / 37.04 ± 2.26,37.92 ± 1.39 / 68.76 ± 0.68,66.29 ± 0.78 / 52.48 ± 0.93,-,61.70 ± 0.70 / 71.32 ± 0.52,15.12.0.dev0,15.12.0.dev0,15.12.0.dev0,15.12.0.dev0,-,15.12.0.dev0
<a href='https://hf.co/Qwen/Qwen3-30B-A3B'>Qwen/Qwen3-30B-A3B#no-thinking</a>,📝,-,?,30532122624.0,151936.0,40960.0,✓,✗,✗,✓,91.15 ± 0.72 / 95.52 ± 0.38,61.99 ± 1.25 / 37.40 ± 2.25,31.44 ± 2.78 / 64.46 ± 1.87,66.29 ± 1.19 / 49.19 ± 1.55,-,45.34 ± 1.07 / 58.65 ± 0.81,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,-,16.2.2.dev0
